#Table1
ra,dec,z
120.98491,8.6995924,0.01656087
120.99389,53.538341,0.02400186
120.99667,23.755681,0.0293812
121.00362,23.40289,0.01688002
121.01468,8.695361,0.01652209
121.01822,23.599404,0.01560549
121.02848,53.549274,0.02379203
121.03425,53.546611,0.024164
121.03549,8.9922879,0.01545712
121.03569,41.847265,0.02490356
121.05542,15.949772,0.01381275
121.06264,8.7320654,0.01572973
121.06549,26.034298,0.02358173
121.06773,30.182893,0.01409598
121.06938,29.366394,0.01752439
121.07573,31.002773,0.01427342
121.07909,23.318991,0.02075335
121.08051,37.709456,0.01881695
121.0834,56.302134,0.02804544
121.08464,37.840376,0.02802171
121.09803,29.515286,0.01842185
121.09842,31.832103,0.01252175
121.09944,22.731489,0.02061881
121.10402,29.506663,0.01765701
121.10463,35.044618,0.02910985
121.10539,35.044584,0.02926617
121.1177,29.622673,0.02163375
121.13073,33.884502,0.01716881
121.13516,7.0624531,0.02152858
121.14628,35.997734,0.01871913
121.14795,50.708567,0.02272137
121.15097,17.812705,0.02887327
121.15633,28.050024,0.02740003
121.15901,26.941295,0.01399068
121.15985,17.504317,0.0161272
121.15985,26.937034,0.01371352
121.17231,24.870805,0.01661198
121.17238,50.718517,0.02261791
121.17507,40.843601,0.02345172
121.17615,46.733421,0.02261841
121.17628,15.775742,0.02928352
121.17772,35.400547,0.02907353
121.19933,14.888713,0.0296912
121.21448,16.537544,0.01530756
121.21496,18.01249,0.02843733
121.23151,56.479187,0.02919981
121.23921,26.204972,0.02610416
121.23972,40.669726,0.02636797
121.24161,40.601409,0.02696008
121.24277,51.635839,0.02317249
121.24852,56.409038,0.02830821
121.25645,56.604248,0.0284678
121.25995,13.043069,0.02952603
121.26008,56.602773,0.02881759
121.2675,29.722701,0.02152701
121.27252,25.062614,0.01678558
121.27933,46.1517,0.02299747
121.28699,48.122802,0.02826772
121.28712,40.591542,0.02629006
121.29289,47.051283,0.02284708
121.3078,46.331656,0.0290896
121.31585,46.58106,0.02185695
121.31629,46.581589,0.02177044
121.31968,46.707004,0.02302342
121.33127,27.071211,0.01708598
121.33413,46.71657,0.02174878
121.34246,25.456872,0.01693926
121.34401,25.541899,0.01699079
121.35236,47.744262,0.0221326
121.35292,46.935681,0.02175053
121.35713,46.287398,0.02889943
121.35759,40.178345,0.02828945
121.36231,56.404063,0.02875098
121.3668,43.050407,0.02368401
121.37707,34.378477,0.0241156
121.38125,46.710046,0.02195758
121.40704,6.9931719,0.01521729
121.40795,46.707393,0.02309312
121.41165,46.068976,0.02461046
121.41786,41.240814,0.012859
121.42962,49.187114,0.02660113
121.43455,46.024476,0.02245461
121.43554,20.232726,0.0155608
121.44801,8.3193416,0.01603909
121.44992,39.449768,0.02495722
121.45753,14.94285,0.02828706
121.46094,14.903592,0.02895238
121.46272,19.495989,0.02433405
121.46539,37.631123,0.02194028
121.4713,23.579804,0.01560472
121.50267,55.545468,0.02815229
121.50522,18.044195,0.0164805
121.51831,20.139677,0.01557063
121.52158,44.620239,0.02271361
121.53857,22.111962,0.01861986
121.54094,41.820163,0.02505795
121.54354,9.1150686,0.02958201
121.54833,25.012062,0.02070988
121.54898,20.996964,0.01592433
121.55203,18.72359,0.01501408
121.55209,34.313358,0.02346147
121.55602,17.706578,0.01570025
121.55841,56.823192,0.02921266
121.5611,47.642665,0.01056138
121.56733,12.827991,0.01899385
121.57138,45.778659,0.01922451
121.57335,53.456875,0.02260964
121.57968,17.594772,0.0163688
121.5803,16.457946,0.02623836
121.61267,37.244408,0.02785137
121.61361,17.72142,0.01574796
121.61421,50.954819,0.02254295
121.61961,34.153424,0.02316592
121.62575,26.898929,0.02559379
121.62612,56.485274,0.02787636
121.63663,10.130069,0.0152965
121.63986,23.945019,0.01414487
121.64085,7.7822763,0.01483681
121.64327,12.666973,0.01473195
121.65877,45.331993,0.01885027
121.65902,18.978195,0.0155217
121.66394,7.9090284,0.01537192
121.67694,26.923341,0.02645638
121.67869,47.312213,0.02258399
121.67882,26.161522,0.01402193
121.67891,56.933138,0.02730081
121.68314,37.026774,0.01320752
121.68688,15.105491,0.0299358
121.70476,26.168997,0.02389036
121.71714,18.737774,0.01545937
121.72472,22.841922,0.02251869
121.72671,26.37413,0.02199223
121.73206,6.5541472,0.01473917
121.73321,18.222606,0.01603093
121.73623,36.538702,0.011124
121.73779,28.845107,0.02797646
121.74018,55.903048,0.02820558
121.74211,8.0063409,0.0148725
121.74481,46.562969,0.02207043
121.75283,24.305362,0.02860425
121.75291,10.263837,0.01866735
